eta,reference,P_wrap,marked,chi,xi,n
0.773343,K3_honeycomb,0.0,0.0,0.0,0.0,8
0.773843,K1_maple_leaf,0.0,0.29133597883597884,1.7752087525105131,0.6976268017672994,9
0.773843,K2_kagome,0.0,0.0015432098765432098,1.0,0.0,9
0.773843,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.774343,K1_maple_leaf,0.0,0.2934303350970018,1.7184857641581401,0.663863182550959,9
0.774343,K2_kagome,0.0,0.0012125220458553791,0.8888888888888888,0.0,9
0.774343,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.774843,K1_maple_leaf,0.0,0.29122574955908287,1.7143184830729647,0.6350006872166581,9
0.774843,K2_kagome,0.0,0.000992063492063492,0.6666666666666666,0.0,9
0.774843,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.775343,K1_maple_leaf,0.0,0.2940365961199294,1.7573323796575115,0.6765924482829384,9
0.775343,K2_kagome,0.0,0.0006613756613756613,0.8888888888888888,0.0,9
0.775343,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.775843,K1_maple_leaf,0.0,0.2922867063492064,1.7613978052081212,0.6855393062207319,8
0.775843,K2_kagome,0.0,0.0010540674603174603,0.75,0.0,8
0.775843,K3_honeycomb,0.0,0.0,0.0,0.0,8
0.776343,K1_maple_leaf,0.0,0.2927138447971781,1.7371161591675364,0.6918317257537197,9
0.776343,K2_kagome,0.0,0.0010471781305114638,1.0,0.0,9
0.776343,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.776843,K1_maple_leaf,0.0,0.29354056437389775,1.7450460685592906,0.6621674383832221,9
0.776843,K2_kagome,0.0,0.0008818342151675485,0.6666666666666666,0.0,9
0.776843,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.777343,K1_maple_leaf,0.0,0.29150132275132273,1.7666825791602268,0.6959287133707135,9
0.777343,K2_kagome,0.0,0.000992063492063492,1.0,0.0,9
0.777343,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.777843,K1_maple_leaf,0.0,0.296957671957672,1.7895304115207544,0.711787007180135,9
0.777843,K2_kagome,0.0,0.0010471781305114638,0.8888888888888888,0.0,9
0.777843,K3_honeycomb,0.0,0.0,0.0,0.0,9
